한자,병음,성조 (단음절),한글 의미,품사
声音,shēngyīn,-,(목)소리,명사
省,shěng,3성,"아끼다, 성 [행정단위]","동사, 명사"
时候,shíhou,-,~때,명사
时间,shíjiān,-,시간,명사
十字路口,shízì lùkǒu,-,사거리,명사
使用,shǐyòng,-,사용하다,동사
事,shì,4성,"일, 사건",명사
是,shì,4성,~이다,동사
试,shì,4성,시험 삼아 해 보다,동사
市场,shìchǎng,-,시장,명사
世界,shìjiè,-,세계,명사
事情,shìqing,-,"일, 사건",명사
收,shōu,1성,"거두어들이다, 받다",동사
收拾,shōushi,-,"치우다, 정리하다",동사
手,shǒu,3성,손,명사
手表,shǒubiǎo,-,손목시계,명사
首都,shǒudū,-,수도,명사
手机,shǒujī,-,휴대 전화,명사
瘦,shòu,4성,"마르다, 꼭 끼다",형용사
输,shū,1성,지다,동사
书,shū,1성,책,명사
书包,shūbāo,-,책가방,명사
书法,shūfǎ,-,서예,명사
舒服,shūfu,-,편안하다,형용사
叔叔,shūshu,-,삼촌,명사
属,shǔ,3성,"(십이지의) ~띠이다, ~에 속하다",동사
暑假,shǔjià,-,여름 방학,명사
数,shǔ / shù,3성 / 4성,"세다, 꼽히다 / 수",동사 / 명사
树,shù,4성,"나무, 심다","명사, 동사"
数学,shùxué,-,수학,명사
帅,shuài,4성,잘생기다,형용사
双,shuāng,1성,"단위(신발, 양말 등 짝을 이루는 것)",양사
谁,shéi,2성,누구,대명사
水,shuǐ,3성,물,명사
水果,shuǐguǒ,-,과일,명사
水平,shuǐpíng,-,수준,명사
睡觉,shuìjiào,-,잠자다,동사 (이합사)
说,shuō,1성,말하다,동사
说话,shuōhuà,-,말하다,동사
说明,shuōmíng,-,설명(하다),"동사, 명사"
死,sǐ,3성,죽다,"동사, 형용사"
送,sòng,4성,"보내다, 선물하다",동사
宿舍,sùshè,-,기숙사,명사
酸,suān,1성,(맛이) 시다,형용사
算,suàn,4성,"계산하다, ~인 셈이다",동사
虽然,suīrán,-,비록 ~일지라도,접속사
岁,suì,4성,"살, 세",양사
所以,suǒyǐ,-,그래서,접속사
所有,suǒyǒu,-,"모든, 일체의","형용사, 대명사"
他,tā,1성,그,대명사
她,tā,1성,그녀,대명사
它,tā,1성,그(사물),대명사
台,tái,2성,"단위(가전제품, 기계 등)",양사
太,tài,4성,"매우, 너무",부사
太极拳,tàijíquán,-,태극권,명사
太阳,tàiyáng,-,태양,명사
谈,tán,2성,"이야기하다, 말하다",동사
汤,tāng,1성,"탕, 국",명사
糖,táng,2성,"설탕, 사탕",명사
躺,tǎng,3성,눕다,동사
讨论,tǎolùn,-,토론하다,동사
讨厌,tǎoyàn,-,싫어하다,"동사, 형용사"
套,tào,4성,"덮개, 세트, 씌우다, 걸쳐 입다","명사, 양사, 동사"
特别,tèbié,-,"특별하다, 매우","형용사, 부사"
特点,tèdiǎn,-,특징,명사
疼,téng,2성,"아프다, 사랑하다","형용사, 동사"
踢,tī,1성,(발로) 차다,동사
提高,tígāo,-,향상시키다,동사
体育,tǐyù,-,"체육, 스포츠",명사
替,tì,4성,~를 대신하여,"전치사, 동사"
天,tiān,1성,"하늘, 날, 일","명사, 양사"
添,tiān,1성,"더하다, 첨가하다",동사
天气,tiānqì,-,날씨,명사
甜,tián,2성,달다,형용사
条,tiáo,2성,"줄기, 단위(길, 강, 바지 등)",양사
条件,tiáojiàn,-,조건,명사
跳舞,tiàowǔ,-,춤을 추다,동사 (이합사)
听,tīng,1성,듣다,동사
听说,tīngshuō,-,듣자 하니,동사
停,tíng,2성,멈추다,동사
挺,tǐng,3성,아주,"부사, 동사"
通过,tōngguò,-,"~를 통해서, 통과하다","전치사, 동사"
同学,tóngxué,-,"학우, 동창",명사
同意,tóngyì,-,동의하다,동사
头,tóu,2성,머리,명사
头 (접미사),tou,경성,명사 뒤에 쓰이는 접미사,조사 (접미사)
头发,tóufa,-,머리카락,명사
头疼,tóuténg,-,머리가 아프다,"동사, 형용사"
突然,tūrán,-,갑자기,"형용사, 부사"
图书馆,túshūguǎn,-,도서관,명사
脱,tuō,1성,벗다,동사
袜子,wàzi,-,양말,명사
外国,wàiguó,-,외국,명사
外语,wàiyǔ,-,외국어,명사
完,wán,2성,끝내다,동사
玩,wán,2성,놀다,동사
完成,wánchéng,-,완성하다,동사
完全,wánquán,-,"전적으로, 참으로",부사
碗,wǎn,3성,"그릇, 단위(그릇)","명사, 양사"
晚,wǎn,3성,늦다,형용사
晚会,wǎnhuì,-,저녁 파티,명사
晚上,wǎnshang,-,저녁,명사
往,wǎng,3성,~쪽으로,전치사
网,wǎng,3성,"조직, 망, 인터넷",명사
网站,wǎngzhàn,-,웹 사이트,명사
忘,wàng,4성,잊다,동사
忘记,wàngjì,-,잊다,동사
喂,wèi,4성,"여보세요, 먹이다","감탄사, 동사"
位,wèi,4성,단위(사람),양사
为,wéi / wèi,2성 / 4성,"하다, ~으로 삼다 / ~을 위하여",동사 / 전치사
味道,wèidào,-,맛,명사
为了,wèile,-,~을/를 위하여,전치사
为什么,wèi shénme,-,왜,대명사
文化,wénhuà,-,문화,명사
问,wèn,4성,묻다,동사
问好,wènhǎo,-,안부를 묻다,동사 (이합사)
问题,wèntí,-,문제,명사
我,wǒ,3성,나,대명사
午饭,wǔfàn,-,점심밥,명사
离/勿,wù,4성,~해서는 안 된다,부사
希望,xīwàng,-,희망(하다),"명사, 동사"
习惯,xíguàn,-,습관(이 되다),"명사, 동사"
喜欢,xǐhuan,-,좋아하다,동사
洗手间,xǐshǒujiān,-,화장실,명사
洗澡,xǐzǎo,-,목욕하다,동사 (이합사)
下,xià,4성,"아래, 내려가다","명사, 동사, 양사"
下课,xiàkè,-,수업을 마치다,동사 (이합사)
下午,xiàwǔ,-,오후,명사
先,xiān,1성,먼저,부사
先生,xiānsheng,-,"성인 남성에 대한 경칭, ~씨",명사
咸,xián,2성,짜다,형용사
洗,xǐ,3성,씻다,동사
现代,xiàndài,-,현대,명사
现在,xiànzài,-,"지금, 현재","명사, 부사"
香,xiāng,1성,"향기롭다, 맛있다",형용사
香蕉,xiāngjiāo,-,바나나,명사
相信,xiāngxìn,-,믿다,동사
想,xiǎng,3성,"~하고 싶다, 그립다, 생각하다","조동사, 동사"
响,xiǎng,3성,(소리가) 울리다,"동사, 형용사"
像,xiàng,4성,"닮다, ~같다","동사, 전치사"
向,xiàng,4성,~쪽으로,전치사
消息,xiāoxi,-,소식,명사
小,xiǎo,3성,작다,형용사
小姐,xiǎojiě,-,아가씨,명사
小时,xiǎoshí,-,시간,명사
小心,xiǎoxīn,-,조심하다,"동사, 형용사"
小学,xiǎoxué,-,초등학교,명사
笑,xiào,4성,웃다,동사
些,xiē,1성,"조금, 약간(적은 수량)",양사
鞋,xié,2성,신발,명사
写,xiě,3성,쓰다,동사
谢谢,xièxie,-,감사하다,동사
新,xīn,1성,새로운,"형용사, 부사"
新年,xīnnián,-,신년,명사
新闻,xīnwén,-,뉴스,명사
信,xìn,4성,편지,명사
星期,xīngqī,-,"요일, 주",명사
星星,xīngxing,-,별,명사
行,xíng,2성,"좋다, 괜찮다","형용사, 동사"
行,háng,2성,"업종, 직업",명사
行李,xíngli,-,짐,명사
姓,xìng,4성,성(씨),"명사, 동사"
幸福,xìngfú,-,행복하다,"형용사, 명사"
性格,xìnggé,-,성격,명사
兴趣,xìngqù,-,"흥미, 재미",명사
熊猫,xióngmāo,-,판다,명사
休息,xiūxi,-,휴식하다,동사
需要,xūyào,-,필요(하다),"동사, 명사"
许多,xǔduō,-,"많은, 허다한",형용사
学,xué,2성,배우다,동사
学生,xuéshēng,-,학생,명사
学习,xuéxí,-,공부하다,"동사, 명사"
学校,xuéxiào,-,학교,명사
雪,xuě,3성,눈,명사
呀,yā / ya,1성 / 경성,"놀람, 경이의 조사","감탄사, 조사"
颜色,yánsè,-,색깔,명사
严重,yánzhòng,-,심각하다,형용사
演出,yǎnchū,-,공연하다,"동사, 명사"
眼睛,yǎnjiing,-,눈,명사
眼镜,yǎnjìng,-,안경,명사
样子,yàngzi,-,"모양, 형태",명사
要求,yāoqiú,-,요구(하다),"명사, 동사"
药,yào,4성,약,명사
要,yào,4성,"원하다, ~하려고 하다","동사, 조동사"
要紧,yàojǐn,-,"중요하다, 심각하다",형용사
要是,yàoshi,-,만약,접속사
爷爷,yéye,-,할아버지,명사
也,yě,3성,~도 역시,부사
也许,yěxǔ,-,아마도,부사
页,yè,4성,페이지,양사
一般,yībān,-,"보통이다, 일반적으로","형용사, 부사"
一边,yībiān,-,"한쪽, 한편으로","명사, 부사"
一点儿,yīdiǎnr,-,"조금, 약간",수량사 (양사)
一定,yīdìng,-,"반드시, 일정한","부사, 형용사"
衣服,yīfu,-,옷,명사
一共,yīgòng,-,합계가 ~다,부사
一会儿,yīhuìr,-,잠시 동안,"명사, 부사"
一起,yīqǐ,-,함께,부사
一切,yīqiè,-,전부,대명사
医生,yīshēng,-,의사,명사
一下,yīxià,-,"잠시, 잠깐",양사 (동량사)
一样,yīyàng,-,같다,형용사
医院,yīyuàn,-,병원,명사
一直,yīzhí,-,"똑바로, 줄곧",부사
以后,yǐhòu,-,이후,명사 (방위사)
**,已经**,yǐjīng,-,이미
以前,yǐqián,-,이전,명사 (방위사)
以外,yǐwài,-,이외,명사 (방위사)
以为,yǐwéi,-,~인 줄 알다,동사
椅子,yǐzi,-,의자,명사
意见,yìjiàn,-,의견,명사
艺术,yìshù,-,예술,명사
意思,yìsi,-,"의견, 뜻, 성의, 재미",명사
阴,yīn,1성,흐리다,형용사
因为,yīnwèi,-,"왜냐하면, ~때문에","접속사, 전치사"
音乐,yīnyuè,-,음악,명사
银行,yínháng,-,은행,명사
应该,yīnggāi,-,마땅히 ~해야 한다,조동사
赢,yíng,2성,이기다,동사
影响,yǐngxiǎng,-,영향(을 주다),"명사, 동사"
永远,yǒngyuǎn,-,영원하다,부사
用,yòng,4성,"사용하다, ~로써","동사, 전치사"
用功,yònggōng,-,열심히 공부하다,형용사
邮件,yóujiàn,-,우편물,명사
邮局,yóujú,-,우체국,명사
游戏,yóuxì,-,게임,"명사, 동사"
游泳,yóuyǒng,-,수영하다,동사 (이합사)
有,yǒu,3성,있다,동사
有点儿,yǒudiǎnr,-,조금,부사
有名,yǒumíng,-,유명하다,형용사
有意思,yǒu yìsi,-,재미있다,형용사
又,yòu,4성,"또, 다시(과거 반복)",부사
鱼,yú,2성,물고기,명사
愉快,yúkuài,-,즐겁다,형용사
雨,yǔ,3성,비,명사
元,yuán,2성,단위(화폐),양사
原来,yuánlái,-,"원래, 알고 보니","부사, 형용사, 명사"
原谅,yuánliàng,-,양해하다,동사
远,yuǎn,3성,멀다,형용사
愿意,yuànyì,-,원하다,조동사
约,yuē,1성,"약속하다, 대략","동사, 부사"
月,yuè,4성,"월, 달",명사
月亮,yuèliang,-,달,명사
云,yún,2성,구름,명사
运动,yùndòng,-,운동(하다),"명사, 동사"
杂志,zázhì,-,잡지,명사
再,zài,4성,다시,부사
在,zài,4성,"~에서, ~에 있다, ~하는 중이다","전치사, 동사, 부사"
再见,zàijiàn,-,또 만나자,"동사, 감탄사"
脏,zāng,1성,더럽다,형용사
脏,zàng,4성,내장,명사
早,zǎo,3성,"아침, 이르다","명사, 형용사"
早上,zǎoshang,-,아침,명사
怎么,zěnme,-,어떻게,대명사
怎么样,zěnmeyàng,-,어떻습니까,대명사
增加,zēngjiā,-,증가하다,동사
炸酱面,zhájiàngmiàn,-,짜장면,명사
站,zhàn,4성,"정류장, 서다","명사, 동사"
张,zhāng,1성,"단위(종이, 탁자, 침대 등 평평한 물건), 펼치다","양사, 동사"
着急,zháojí,-,"조급해하다, 서두르다","형용사, 동사"
找,zhǎo,3성,"찾다, 거슬러 주다",동사
照顾,zhàogù,-,"고려하다, 돌보다","동사, 명사"
照片,zhàopiàn,-,사진,명사
照相机,zhàoxiàngjī,-,사진기,명사
着,zhe,경성,"(동태조사) ~한 채로 있다, ~하는 중이다",조사
着,zháo,2성,(결과보어) 도달했거나 어떤 결과가 있음을 나타냄,동사
这,zhè,4성,이(것),대명사
这里 / 这儿,zhèlǐ / zhèr,-,"이곳, 여기",대명사
这么,zhème,-,"이렇게, 이러한","부사, 대명사"
这样,zhèyàng,-,"이렇다, 이렇게","대명사, 부사"
真,zhēn,1성,정말로,"부사, 형용사"
正在,zhèngzài,-,~하는 중이다,부사
之,zhī,1성,~의,"조사, 대명사"
支,zhī,1성,단위(펜 종류),양사
知道,zhīdào,-,알다,동사
只,zhī,1성,"단위(동물, 배 등)",양사
只,zhǐ,3성,단지,부사
纸,zhǐ,3성,종이,명사
只好,zhǐhǎo,-,하는 수 없이,부사
只是,zhǐshì,-,"단지, 다만","부사, 접속사"
只要,zhǐyào,-,하기만 하면,접속사
钟,zhōng,1성,"시계, 시간",명사
中间 =,zhōngjiān,-,중간,명사 (방위사)
中午,zhōngwǔ,-,"점심, 정오",명사
中学,zhōngxué,-,중등학교,명사
终于,zhōngyú,-,"마침내, 결국",부사
种,zhǒng,3성,"종류, 씨앗","양사, 명사"
种,zhòng,4성,심다,동사
重,zhòng,4성,무겁다,형용사
重,chóng,2성,다시,부사
重要,zhòngyào,-,중요하다,형용사
周末,zhōumò,-,주말,명사
猪,zhū,1성,돼지,명사
主要,zhǔyào,-,"주요한, 주된","형용사, 부사"
主意,zhǔyi,-,"생각, 아이디어",명사
住,zhù,4성,"살다, 머무르다",동사
祝,zhù,4성,기원하다,동사
祝贺,zhùhè,-,축하하다,동사
注意,zhùyì,-,주의하다,동사 (이합사)
转,zhuǎn,3성,"바꾸다, 전환하다",동사
转,zhuàn,4성,"돌다, 회전하다",동사
准备,zhǔnbèi,-,준비(하다),"동사, 명사"
桌子,zhuōzi,-,"탁자, 책상",명사
字,zì,4성,글자,명사
自己,zìjǐ,-,"자신, 스스로","대명사, 부사"
自行车,zìxíngchē,-,자전거,명사
总(是),zǒng(shì),-,"언제나, 늘",부사
走,zǒu,3성,"걷다, 가다, 떠나다",동사
足球,zúqiú,-,축구,명사
组织,zǔzhī,-,조직(하다),"명사, 동사"
嘴,zuǐ,3성,입,명사
最,zuì,4성,가장,부사
最后,zuìhòu,-,맨 마지막(의),"명사, 부사"
最近,zuìjìn,-,최근에,"명사, 부사"
昨天,zuótiān,-,어제,명사
左右,zuǒyòu,-,"가량, 쯤, 좌와 우","조사, 명사"
做,zuò,4성,"하다, 만들다",동사
坐,zuò,4성,앉다,동사
座,zuò,4성,"좌석, 단위(도시, 산 등)","명사, 양사"
作业,zuòyè,-,"숙제, 작업하다","명사, 동사"
