한자,병음,성조 (단음절),한글 의미,품사
低,dī,1성,낮다,형용사
弟弟,dìdi,-,남동생,명사
地方,dìfang,-,"부분, 점, 곳, 장소, 지방",명사
地铁,dìtiě,-,지하철,명사
地图,dìtú,-,지도,명사
地址,dìzhǐ,-,주소,명사
点,diǎn,3성,"점, 주문하다, ~시","명사, 동사"
点心,diǎnxin,-,간식,명사
店,diàn,4성,"상점, 가게",명사
电话,diànhuà,-,전화,명사
电脑,diànnǎo,-,컴퓨터,명사
电视,diànshì,-,텔레비전,명사
电梯,diàntī,-,엘리베이터,명사
电影,diànyǐng,-,영화,명사
电影院,diànyǐngyuàn,-,영화관,명사
电子邮件,diànzǐ yóujiàn,-,"전자우편, 이메일",명사
掉,diào,4성,"떨어뜨리다, 방향을 바꾸다",동사
顶,dǐng,3성,"정상, 매우, 단위(모자), 지탱하다","명사, 부사, 양사, 동사"
丢,diū,1성,"잃다, 버리다",동사
东西,dōngxi,-,물건,명사
懂,dǒng,3성,"알다, 이해하다",동사
动物,dòngwù,-,동물,명사
都,dōu / dū,1성 / 1성,"모두 / 수도, 대도시",부사 / 명사
读,dú,2성,"읽다, 공부하다",동사
堵车,dǔchē,-,차가 막히다,동사 (이합사)
肚子,dùzi,-,배,명사
度,dù,4성,"단위(도, 번), 경과하다","양사, 동사"
短,duǎn,3성,짧다,형용사
短信,duǎnxìn,-,문자 메시지,명사
段,duàn,4성,"단위(구간, 도막, 부분), 방법",양사
锻炼,duànliàn,-,단련하다,동사
对,duì,4성,"맞다, ~에 대하여, 단위(쌍)","형용사, 전치사, 양사"
队,duì,4성,"대열, 팀, 무리",명사
对不起,duìbuqǐ,-,미안하다,동사
多,duō,1성,많다,형용사
多么,duōme,-,얼마나,부사
多少,duōshao,-,"약간, 다소간","대명사, 부사"
饿,è,4성,배고프다,형용사
而且,érqiě,-,게다가,접속사
儿子,érzi,-,아들,명사
耳朵,ěrduo,-,귀,명사
发烧,fāshāo,-,열나다,동사 (이합사)
发现,fāxiàn,-,발견하다,동사
发音,fāyīn,-,발음(하다),"명사, 동사"
发展,fāzhǎn,-,"발전하다, 발전시키다",동사
发,fā,1성,"보내다, 발생하다",동사
翻译,fānyì,-,"통역(번역)가, 통역(번역)하다","명사, 동사"
反对,fǎnduì,-,반대(하다),동사
饭,fàn,4성,밥,명사
饭店,fàndiàn,-,호텔,명사
方便,fāngbiàn,-,"편리하다, 편리하게 하다","형용사, 동사"
方法,fāngfǎ,-,방법,명사
方面,fāngmiàn,-,"방면, 방향",명사
方向,fāngxiàng,-,방향,명사
房间,fángjiān,-,방,명사
访问,fǎngwèn,-,방문하다,동사
放,fàng,4성,"놓다, 방영하다",동사
放心,fàngmíng (fàng∥xīn),-,안심하다,동사 (이합사)
非常,fēicháng,-,"아주, 대단히",부사
飞机,fēijī,-,비행기,명사
分,fēn,1성,"~분, 나누다","양사, 동사"
封,fēng,1성,단위(편지),양사
风,fēng,1성,바람,명사
风景,fēngjǐng,-,"풍경, 경치",명사
风沙,fēngshā,-,"풍사, 황사",명사
服务员,fúwùyuán,-,종업원,명사
附近,fùjìn,-,부근(의),명사
父母,fùmǔ,-,부모,명사
复习,fùxí,-,복습하다,동사
负责,fùzé,-,책임지다,"동사, 형용사"
该,gāi,1성,~해야 한다,조동사
干,gān / gàn,1성 / 4성,건조하다 / (어떤 일을) 하다,형용사 / 동사
干净,gānjìng,-,깨끗하다,형용사
敢,gǎn,3성,감히 ~하다,조동사
感到,gǎndào,-,"느끼다, 여기다",동사
赶快,gǎnkuài,-,"재빨리, 어서",부사
感冒,gǎnmào,-,감기(걸리다),"명사, 동사"
感谢,gǎnxiè,-,감사하다,동사
刚,gāng,1성,"막, 방금",부사
刚才,gāngcái,-,"막, 방금","명사, 부사"
高,gāo,1성,높다,형용사
高考,gāokǎo,-,중국 대학 입학 시험,명사
高兴,gāoxìng,-,기쁘다,형용사
高中,gāozhōng,-,고등학교,명사
告诉,gàosu,-,알리다,동사
歌,gē,1성,노래,명사
哥哥,gēge,-,"형, 오빠",명사
个,gè,4성,"단위(개, 명)",양사
各,gè,4성,"각, 여러, 갖가지",대명사
个子,gèzi,-,"크기, 키",명사
给,gěi,3성,"~에게, 주다","전치사, 동사"
跟,gēn,1성,"~에게, ~와, ~을","전치사, 접속사, 동사"
黑板,hēibǎn,-,칠판,명사
很,hěn,3성,매우,부사
红,hóng,2성,"붉다, 인기가 있다",형용사
Later / 后来,hòulái,-,"그 다음에, (그) 후",명사
后天,hòutiān,-,모레,명사
互相,hùxiāng,-,"서로, 상호",부사
护照,hùzhào,-,여권,명사
花,huā,1성,"꽃, 소비하다","명사, 동사"
画,huà,4성,그리다,"동사, 명사"
话,huà,4성,말,명사
坏,huài,4성,"상하다, 고장나다, 나쁘다, 고장 내다","형용사, 동사"
欢迎,huānyíng,-,환영하다,동사
换,huàn,4성,"바꾸다, 갈아타다",동사
黄,huáng,2성,노랗다,형용사
回,huí,2성,"돌아오다, 단위(횟수)","동사, 양사"
回答,huídá,-,대답하다,"동사, 명사"
会,huì,4성,"~할 수 있다, ~할 것이다","조동사, 동사"
活动,huódòng,-,"움직이다, 활동(하다)","동사, 명사"
火车,huǒchē,-,기차,명사
或者,huòzhě,-,"아마, 혹은","접속사, 부사"
更,gèng,4성,"더욱, 한층 더",부사
工夫,gōngfu,-,"시간, 틈, 노력",명사
公交车,gōngjiāochē,-,버스,명사
公斤,gōngjīn,-,킬로그램(kg),양사
公里,gōnglǐ,-,킬로미터(km),양사
公司,gōngsī,-,회사,명사
恭喜,gōngxǐ,-,축하하다,동사
公园,gōngyuán,-,공원,명사
工作,gōngzuò,-,"일하다, 일","동사, 명사"
狗,gǒu,3성,개,명사
够,gòu,4성,충분하다,"형용사, 부사"
故事,gùshi,-,이야기,명사
刮,guā,1성,(바람이) 불다,동사
挂,guà,4성,"(고리, 못 따위에) 걸다, 전화를 끊다",동사
拐,guǎi,3성,방향을 바꾸다,동사
关,guān,1성,"닫다, 끄다, 관련되다",동사
关系,guānxi,-,관계(하다),"명사, 동사"
关心,guānxīn,-,관심을 갖다,"동사, 명사"
关于,guānyú,-,~에 관하여,전치사
广播,guǎngbō,-,방송(하다),"명사, 동사"
贵,guì,4성,"귀하다, 비싸다",형용사
国,guó,2성,"국가, 나라",명사
国家,guójiā,-,국가,명사
过,guò / guo,4성 / 경성,"지내다, 지나다 / (과거의 경험 조사)",동사 / 조사
还,hái / huán,2성 / 2성,"아직, 여전히, 더욱 / 돌려주다",부사 / 동사
还是,háishi,-,"여전히, ~아니면","부사, 접속사"
孩子,háizi,-,아이,명사
寒假,hánjià,-,겨울 방학,명사
好,hǎo / hào,3성 / 4성,"좋다 / 좋아하다, 잘 ~하다",형용사 / 동사
好处,hǎochu,-,"장점, 이익",명사
好久,hǎojiǔ,-,(시간이) 오래다,부사
好看,hǎokàn,-,"보기 좋다, 예쁘다",형용사
好听,hǎotīng,-,듣기 좋다,형용사
好像,hǎoxiàng,-,마치 ~와 같다,"부사, 동사"
号,hào,4성,"일, 날짜","명사, 양사"
好吃,hǎochī,-,맛있다,형용사
号码,hàomǎ,-,번호,명사
喝,hē,1성,마시다,동사
和,hé,2성,"~와/과, ~에게","접속사, 전치사"
河,hé,2성,"강, 하천",명사
合适,héshì,-,"적당하다, 알맞다",형용사
黑,hēi,1성,"검다, 어둡다, 나쁘다",형용사
机场,jīchǎng,-,공항,명사
鸡,jī,1성,닭,명사
鸡蛋,jīdàn,-,달걀,명사
机会,jīhuì,-,기회,명사
极,jí,2성,"정점(에 이르다), 매우","부사, 동사"
急,jí,2성,"조급하다, 초조하게 하다","형용사, 동사"
几,jǐ,3성,몇(10 이하의 수),"수사, 대명사"
寄,jì,4성,부치다,동사
季节,jìjié,-,계절,명사
既然,jìrán,-,이왕 ~한 바에야,접속사
继续,jìxù,-,계속하다,동사
家,jiā,1성,"집, 단위(가게, 기업 등)","명사, 양사"
加油,jiā∥yóu,-,"기름을 넣다, 힘내다",동사 (이합사)
价格,jiàgé,-,가격,명사
检查,jiǎnchá,-,검사하다,"동사, 명사"
简单,jiǎndān,-,간단하다,형용사
间,jiān / jiàn,1성 / 4성,"중간, 사이, 단위(칸) / 사이(를 두다)","명사, 양사 / 동사"
见,jiàn,4성,"보다, 만나다",동사
件,jiàn,4성,"단위(사건, 의복)",양사
健康,jiànkāng,-,건강(하다),"명사, 형용사"
见面,jiàn∥miàn,-,만나다,동사 (이합사)
将来,jiānglái,-,"장래, 미래",명사
讲,jiǎng,3성,"말하다, 이야기하다",동사
交,jiāo,1성,"교체하다, 제출하다, 사귀다",동사
教,jiāo / jiào,1성 / 4성,"가르치다 / 가르치다, 가르침, 교육","동사 / 동사, 명사"
脚,jiǎo,3성,발,명사
角,jiǎo,3성,"뿔, 모서리, 단위(화폐)","명사, 양사"
饺子,jiǎozi,-,(물)만두,명사
叫,jiào,4성,"~라고 부르다, ~을 하게 하다",동사
教室,jiàoshì,-,교실,명사
接,jiē,1성,"받다, 잇다",동사
节,jié,2성,"명절, 단위(수업), 절약하다","명사, 양사, 동사"
结果,jiéguǒ / jiēguǒ,-,결과 / 열매를 맺다,명사 / 동사
结婚,jiéhūn,-,결혼하다,동사 (이합사)
节目,jiémù,-,프로그램,명사
节日,jiérì,-,"명절, 기념일",명사
结束,jiéshù,-,"끝내다, 마치다",동사
姐姐,jiějie,-,"언니, 누나",명사
解决,jiějué,-,해결하다,동사
借,jiè,4성,빌리다,동사
介绍,jièshào,-,소개하다,"동사, 명사"
斤,jīn,1성,단위(근),양사
今年,jīnnián,-,올해,명사
今天,jīntiān,-,오늘,명사
紧张,jǐnzhāng,-,"긴박하다, 부족하다, 긴장해 있다",형용사
进,jìn,4성,"나아가다, 들어오다",동사
近,jìn,4성,가깝다,형용사
进步,jìnbù,-,진보(하다),"명사, 동사"
精彩,jīngcǎi,-,훌륭하다,형용사
经常,jīngcháng,-,"자주, 종종",부사
经过,jīngguò,-,"통과하다, 거치다","동사, 전치사, 명사"
经济,jīngjì,-,경제(적이다),"명사, 형용사"
京剧,jīngjù,-,경극,명사
精神,jīngshén / jīngshen,-,정신 / 활기차다,명사 / 형용사
久,jiǔ,3성,오래다(시간이 길다),"형용사, 부사"
旧,jiù,4성,오래된,형용사
就,jiù,4성,"곧, 바로","부사, 접속사"
举,jǔ,3성,들다,동사
句,jù,4성,마디(말이나 글),양사
句子,jùzi,-,문장,명사
觉得,juéde,-,~라고 느끼다,동사
决定,juédìng,-,결정(하다),"동사, 명사"
咖啡,kāfēi,-,커피,명사
卡,kǎ,3성,카드,명사
开,kāi,1성,"열다, 운전하다, 끓다, (꽃이) 피다, 시작하다",동사
开始,kāishǐ,-,시작하다,"동사, 명사"
开玩笑,kāi wánxiào,-,농담하다,동사
开心,kāixīn,-,즐겁다,형용사
看,kàn,4성,"보고, 읽다",동사
看见,kànjiàn,-,"보다, 보이다",동사
考,kǎo,3성,시험 보다,동사
考试,kǎoshì,-,시험(보다),"명사, 동사"
烤鸭,kǎoyā,-,오리구이,명사
咳嗽,késou,-,기침하다,"동사, 명사"
渴,kě,3성,목마르다,형용사
可,kě,3성,"강조, 허가, 기능, 역접 등을 나타냄","부사, 접속사"
可爱,kě'ài,-,귀엽다,형용사
可能,kěnéng,-,"가능하다, 아마도","형용사, 조동사, 부사"
可是,kěshì,-,그러나,"접속사, 부사"
